Body_size,Wing_size,Body_R,Body_G,Body_B,Wing_R,Wing_G,Wing_B
32.32,22.35,199.0,190.0,182.1,199.0,190.0,182.1
27.39,21.71,198.9,190.0,181.9,198.9,190.0,181.9
30.58,20.0,199.0,190.0,182.1,199.0,190.0,182.1
32.59,22.14,198.9,190.1,182.0,198.9,190.1,182.0
29.33,22.85,199.1,190.0,182.0,199.1,190.0,182.0
31.95,20.33,199.0,190.0,181.9,199.0,190.0,181.9
27.86,22.67,198.9,190.0,182.0,198.9,190.0,182.0
31.19,21.67,199.0,190.0,182.1,199.0,190.0,182.1
28.21,21.98,199.0,190.0,182.1,199.0,190.0,182.1
28.7,24.01,199.0,190.0,181.9,199.0,190.0,181.9
26.08,24.79,199.0,190.0,182.0,199.0,190.0,182.0
30.66,23.9,199.0,190.0,181.9,199.0,190.0,181.9
30.66,22.25,199.1,190.0,181.9,199.1,190.0,181.9
28.32,21.9,199.0,190.0,182.0,199.0,190.0,182.0
27.99,23.94,199.0,190.1,182.0,199.0,190.1,182.0
27.02,22.65,199.1,190.0,182.0,199.1,190.0,182.0
27.03,22.02,199.0,190.0,182.0,199.0,190.0,182.0
27.06,23.18,199.0,189.9,182.0,199.0,189.9,182.0
26.04,23.53,199.0,190.0,182.0,199.0,190.0,182.0
32.4,24.23,199.0,190.0,182.1,199.0,190.0,182.1
28.16,21.96,199.0,190.1,182.0,199.0,190.1,182.0
26.89,25.56,199.0,190.0,182.0,199.0,190.0,182.0
28.72,22.31,199.1,190.1,182.1,199.1,190.1,182.1
29.04,26.12,199.0,189.9,181.9,199.0,189.9,181.9
28.87,24.06,199.0,190.0,182.0,199.0,190.0,182.0
29.29,22.71,199.0,190.0,181.9,199.0,190.0,181.9
25.99,22.71,199.0,190.0,182.0,199.0,190.0,182.0
28.12,24.02,199.0,190.0,182.0,199.0,190.0,182.0
30.52,24.5,199.0,190.0,182.0,199.0,190.0,182.0
29.25,24.43,199.1,190.0,182.0,199.1,190.0,182.0
26.87,24.94,199.0,190.0,182.1,199.0,190.0,182.1
29.77,22.79,199.0,190.0,182.0,199.0,190.0,182.0
29.72,23.09,199.0,190.0,182.0,199.0,190.0,182.0
31.19,25.32,199.1,190.0,182.0,199.1,190.0,182.0
33.6,21.26,198.9,190.0,182.0,198.9,190.0,182.0
25.3,22.5,199.0,190.0,182.0,199.0,190.0,182.0
28.97,24.42,198.9,190.0,182.0,198.9,190.0,182.0
29.32,20.39,199.0,190.0,182.0,199.0,190.0,182.0
27.9,24.35,199.0,189.9,182.0,199.0,189.9,182.0
29.13,24.26,199.0,190.1,181.9,199.0,190.1,181.9
28.09,22.92,199.1,190.0,182.0,199.1,190.0,182.0
29.03,23.77,199.1,189.9,182.1,199.1,189.9,182.1
29.05,23.37,198.9,190.0,182.1,198.9,190.0,182.1
27.07,23.73,199.0,190.0,182.1,199.0,190.0,182.1
28.88,24.77,199.0,190.0,181.9,199.0,190.0,181.9
31.34,23.46,198.9,190.0,182.0,198.9,190.0,182.0
27.74,22.31,199.0,190.0,182.0,199.0,190.0,182.0
29.57,23.31,199.0,190.0,182.0,199.0,190.0,182.0
27.81,23.26,199.0,190.0,182.0,199.0,190.0,182.0
27.18,24.17,199.0,190.0,182.0,199.0,190.0,182.0
27.58,24.9,199.1,189.9,182.0,199.1,189.9,182.0
29.52,24.03,199.0,190.0,182.1,199.0,190.0,182.1
26.09,23.44,199.0,190.0,182.0,199.0,190.0,182.0
30.29,21.87,199.0,190.0,181.9,199.0,190.0,181.9
27.99,23.25,199.0,190.0,182.0,199.0,190.0,182.0
25.46,23.64,199.0,190.0,182.0,199.0,190.0,182.0
30.54,22.0,199.0,189.9,182.1,199.0,189.9,182.1
29.4,21.37,199.0,190.1,182.1,199.0,190.1,182.1
28.51,20.95,199.1,190.0,182.0,199.1,190.0,182.0
31.17,23.77,199.0,190.0,182.0,199.0,190.0,182.0
28.54,22.12,199.0,190.0,181.9,199.0,190.0,181.9
31.51,25.94,199.0,190.0,182.1,199.0,190.0,182.1
24.35,24.92,199.0,190.0,182.0,199.0,190.0,182.0
32.32,23.67,199.0,190.1,182.0,199.0,190.1,182.0
25.86,24.4,199.0,190.1,182.1,199.0,190.1,182.1
28.19,22.36,199.0,190.0,181.9,199.0,190.0,181.9
25.79,23.97,199.0,190.1,182.0,199.0,190.1,182.0
30.41,22.33,199.1,190.0,182.0,199.1,190.0,182.0
29.79,21.61,198.9,189.9,181.9,198.9,189.9,181.9
30.43,23.26,199.1,189.9,181.9,199.1,189.9,181.9
28.17,23.06,199.1,189.9,182.0,199.1,189.9,182.0
30.59,24.24,199.0,189.9,182.0,199.0,189.9,182.0
29.81,23.39,199.1,190.0,182.0,199.1,190.0,182.0
28.78,24.06,199.0,190.1,182.0,199.0,190.1,182.0
29.13,24.15,198.9,190.0,182.1,198.9,190.0,182.1
27.89,19.81,199.0,190.0,182.1,199.0,190.0,182.1
30.98,26.24,199.0,190.0,182.0,199.0,190.0,182.0
